id,Database
31588,Neisseria
31589,Neisseria
31590,Neisseria
31591,Neisseria
31592,Neisseria
31593,Neisseria
31594,Neisseria
31595,Neisseria
31596,Neisseria
31597,Neisseria
31598,Neisseria
31599,Neisseria
31600,Neisseria
31601,Neisseria
31602,Neisseria
31603,Neisseria
31604,Neisseria
31605,Neisseria
31608,Neisseria
31609,Neisseria
31610,Neisseria
31611,Neisseria
31612,Neisseria
31613,Neisseria
31614,Neisseria
31617,Neisseria
31618,Neisseria
31619,Neisseria
31620,Neisseria
31621,Neisseria
31622,Neisseria
31623,Neisseria
31624,Neisseria
31625,Neisseria
31626,Neisseria
31627,Neisseria
31628,Neisseria
31629,Neisseria
31630,Neisseria
31631,Neisseria
31632,Neisseria
31633,Neisseria
31634,Neisseria
31635,Neisseria
31636,Neisseria
31637,Neisseria
31638,Neisseria
31639,Neisseria
31640,Neisseria
31641,Neisseria
31642,Neisseria
31643,Neisseria
31645,Neisseria
31646,Neisseria
31647,Neisseria
31648,Neisseria
31649,Neisseria
31650,Neisseria
31651,Neisseria
31652,Neisseria
31653,Neisseria
31654,Neisseria
31655,Neisseria
31656,Neisseria
31657,Neisseria
31658,Neisseria
31659,Neisseria
31660,Neisseria
31661,Neisseria
31662,Neisseria
31663,Neisseria
31664,Neisseria
31665,Neisseria
31666,Neisseria
31667,Neisseria
31668,Neisseria
31669,Neisseria
31670,Neisseria
31671,Neisseria
31672,Neisseria
31673,Neisseria
31674,Neisseria
31675,Neisseria
31676,Neisseria
31677,Neisseria
31678,Neisseria
31685,Neisseria
31686,Neisseria
31687,Neisseria
31688,Neisseria
31689,Neisseria
31690,Neisseria
31691,Neisseria
31692,Neisseria
31693,Neisseria
31694,Neisseria
31695,Neisseria
31696,Neisseria
31697,Neisseria
31698,Neisseria
31699,Neisseria
31700,Neisseria
31701,Neisseria
31702,Neisseria
31703,Neisseria
31704,Neisseria
31705,Neisseria
31706,Neisseria
31707,Neisseria
31708,Neisseria
31709,Neisseria
31710,Neisseria
31711,Neisseria
31712,Neisseria
31713,Neisseria
31714,Neisseria
31715,Neisseria
31716,Neisseria
31717,Neisseria
31718,Neisseria
31719,Neisseria
31720,Neisseria
31721,Neisseria
31722,Neisseria
31723,Neisseria
31724,Neisseria
31725,Neisseria
31726,Neisseria
31727,Neisseria
31728,Neisseria
31729,Neisseria
31730,Neisseria
31731,Neisseria
31732,Neisseria
31733,Neisseria
31734,Neisseria
31735,Neisseria
31736,Neisseria
31737,Neisseria
31738,Neisseria
31739,Neisseria
31740,Neisseria
31741,Neisseria
31742,Neisseria
31743,Neisseria
31745,Neisseria
31746,Neisseria
31747,Neisseria
31748,Neisseria
31749,Neisseria
31750,Neisseria
31751,Neisseria
31752,Neisseria
31753,Neisseria
31755,Neisseria
31756,Neisseria
31757,Neisseria
31758,Neisseria
31759,Neisseria
31760,Neisseria
31761,Neisseria
31762,Neisseria
31763,Neisseria
31764,Neisseria
31765,Neisseria
31766,Neisseria
31767,Neisseria
31768,Neisseria
31769,Neisseria
31770,Neisseria
31771,Neisseria
31772,Neisseria
31773,Neisseria
31774,Neisseria
31775,Neisseria
31777,Neisseria
31778,Neisseria
31779,Neisseria
31781,Neisseria
31782,Neisseria
31783,Neisseria
31784,Neisseria
31785,Neisseria
31786,Neisseria
31787,Neisseria
31788,Neisseria
31789,Neisseria
31790,Neisseria
31791,Neisseria
31792,Neisseria
31793,Neisseria
31794,Neisseria
31795,Neisseria
31796,Neisseria
31797,Neisseria
31798,Neisseria
31799,Neisseria
31800,Neisseria
31801,Neisseria
31802,Neisseria
31803,Neisseria
31804,Neisseria
31805,Neisseria
31807,Neisseria
31808,Neisseria
31809,Neisseria
31810,Neisseria
31811,Neisseria
31812,Neisseria
31813,Neisseria
31814,Neisseria
31815,Neisseria
31816,Neisseria
31817,Neisseria
31867,Neisseria
31943,Neisseria
31944,Neisseria
31945,Neisseria
31946,Neisseria
31947,Neisseria
31951,Neisseria
31952,Neisseria
31953,Neisseria
31954,Neisseria
31955,Neisseria
31967,Neisseria
31968,Neisseria
31969,Neisseria
31970,Neisseria
31971,Neisseria
31972,Neisseria
31973,Neisseria
31974,Neisseria
31975,Neisseria
31976,Neisseria
31977,Neisseria
31978,Neisseria
31979,Neisseria
31980,Neisseria
31981,Neisseria
31982,Neisseria
31983,Neisseria
31984,Neisseria
31985,Neisseria
31986,Neisseria
31987,Neisseria
31988,Neisseria
31989,Neisseria
31990,Neisseria
31991,Neisseria
31992,Neisseria
31993,Neisseria
31994,Neisseria
31995,Neisseria
31996,Neisseria
31997,Neisseria
31998,Neisseria
31999,Neisseria
32000,Neisseria
32001,Neisseria
32002,Neisseria
32007,Neisseria
32008,Neisseria
32009,Neisseria
32010,Neisseria
32011,Neisseria
32074,Neisseria
32075,Neisseria
32076,Neisseria
34768,Neisseria
34769,Neisseria
34770,Neisseria
34771,Neisseria
34772,Neisseria
34773,Neisseria
34774,Neisseria
34775,Neisseria
34776,Neisseria
34777,Neisseria
34778,Neisseria
34779,Neisseria
34780,Neisseria
34781,Neisseria
34783,Neisseria
34784,Neisseria
34785,Neisseria
34786,Neisseria
34787,Neisseria
34788,Neisseria
34789,Neisseria
34790,Neisseria
34791,Neisseria
34793,Neisseria
34794,Neisseria
34795,Neisseria
34796,Neisseria
34797,Neisseria
34798,Neisseria
34800,Neisseria
34801,Neisseria
34803,Neisseria
34804,Neisseria
36238,Neisseria
36240,Neisseria
36243,Neisseria
36244,Neisseria
36245,Neisseria
36246,Neisseria
36247,Neisseria
36248,Neisseria
36249,Neisseria
36250,Neisseria
36251,Neisseria
36253,Neisseria
36255,Neisseria
36256,Neisseria
36257,Neisseria
36259,Neisseria
36263,Neisseria
36266,Neisseria
36267,Neisseria
36268,Neisseria
36269,Neisseria
36270,Neisseria
36271,Neisseria
36273,Neisseria
36274,Neisseria
36275,Neisseria
36276,Neisseria
36277,Neisseria
36279,Neisseria
36280,Neisseria
36281,Neisseria
36283,Neisseria
36284,Neisseria
36285,Neisseria
36287,Neisseria
36289,Neisseria
36290,Neisseria
36291,Neisseria
36292,Neisseria
36294,Neisseria
36295,Neisseria
36296,Neisseria
36297,Neisseria
36299,Neisseria
36675,Neisseria
36684,Neisseria
37022,Neisseria
37023,Neisseria
37024,Neisseria
37025,Neisseria
37026,Neisseria
37027,Neisseria
37028,Neisseria
37029,Neisseria
37030,Neisseria
37031,Neisseria
37032,Neisseria
37033,Neisseria
37034,Neisseria
37035,Neisseria
37036,Neisseria
37037,Neisseria
37038,Neisseria
37039,Neisseria
37040,Neisseria
37041,Neisseria
37042,Neisseria
37043,Neisseria
37044,Neisseria
37045,Neisseria
37046,Neisseria
37047,Neisseria
37048,Neisseria
37049,Neisseria
37050,Neisseria
37051,Neisseria
37052,Neisseria
37053,Neisseria
37054,Neisseria
37055,Neisseria
37056,Neisseria
37057,Neisseria
37058,Neisseria
37059,Neisseria
37060,Neisseria
37061,Neisseria
37062,Neisseria
37063,Neisseria
37064,Neisseria
37065,Neisseria
37066,Neisseria
37067,Neisseria
37068,Neisseria
37070,Neisseria
37071,Neisseria
37072,Neisseria
37073,Neisseria
37074,Neisseria
37075,Neisseria
37076,Neisseria
37077,Neisseria
37078,Neisseria
37079,Neisseria
37080,Neisseria
37081,Neisseria
37082,Neisseria
37083,Neisseria
37084,Neisseria
37085,Neisseria
37086,Neisseria
37087,Neisseria
37088,Neisseria
37089,Neisseria
37090,Neisseria
37091,Neisseria
37092,Neisseria
37093,Neisseria
37094,Neisseria
37095,Neisseria
37096,Neisseria
37097,Neisseria
37098,Neisseria
37099,Neisseria
37100,Neisseria
37101,Neisseria
37102,Neisseria
37103,Neisseria
37104,Neisseria
37105,Neisseria
37106,Neisseria
37107,Neisseria
37108,Neisseria
37109,Neisseria
37110,Neisseria
37111,Neisseria
37112,Neisseria
37113,Neisseria
37114,Neisseria
37115,Neisseria
37116,Neisseria
37117,Neisseria
37118,Neisseria
37119,Neisseria
37120,Neisseria
37121,Neisseria
37122,Neisseria
37123,Neisseria
37124,Neisseria
37125,Neisseria
37126,Neisseria
37127,Neisseria
37128,Neisseria
37129,Neisseria
37131,Neisseria
37132,Neisseria
37133,Neisseria
37134,Neisseria
37135,Neisseria
37136,Neisseria
37137,Neisseria
37138,Neisseria
37139,Neisseria
37140,Neisseria
37141,Neisseria
37142,Neisseria
37143,Neisseria
37145,Neisseria
37146,Neisseria
37147,Neisseria
37148,Neisseria
37149,Neisseria
37150,Neisseria
37151,Neisseria
37152,Neisseria
37153,Neisseria
37154,Neisseria
37155,Neisseria
37156,Neisseria
37157,Neisseria
37158,Neisseria
37159,Neisseria
37160,Neisseria
37161,Neisseria
37162,Neisseria
37163,Neisseria
37164,Neisseria
37165,Neisseria
37166,Neisseria
37167,Neisseria
37168,Neisseria
37169,Neisseria
37170,Neisseria
37171,Neisseria
37172,Neisseria
37173,Neisseria
37174,Neisseria
37175,Neisseria
37176,Neisseria
37177,Neisseria
37178,Neisseria
37179,Neisseria
37180,Neisseria
37181,Neisseria
37182,Neisseria
37183,Neisseria
37184,Neisseria
37185,Neisseria
37186,Neisseria
37187,Neisseria
37188,Neisseria
37189,Neisseria
37190,Neisseria
37191,Neisseria
37192,Neisseria
37193,Neisseria
37194,Neisseria
37195,Neisseria
37196,Neisseria
37197,Neisseria
37198,Neisseria
37199,Neisseria
37200,Neisseria
37201,Neisseria
37202,Neisseria
37203,Neisseria
37204,Neisseria
37205,Neisseria
37206,Neisseria
37207,Neisseria
37208,Neisseria
37209,Neisseria
37210,Neisseria
37211,Neisseria
37212,Neisseria
37213,Neisseria
37216,Neisseria
37217,Neisseria
37218,Neisseria
37219,Neisseria
37220,Neisseria
37221,Neisseria
37223,Neisseria
37224,Neisseria
37226,Neisseria
37227,Neisseria
37228,Neisseria
37229,Neisseria
37230,Neisseria
37231,Neisseria
37232,Neisseria
37233,Neisseria
37234,Neisseria
37235,Neisseria
37236,Neisseria
37237,Neisseria
37238,Neisseria
37239,Neisseria
37240,Neisseria
37241,Neisseria
37242,Neisseria
37243,Neisseria
37244,Neisseria
37245,Neisseria
37246,Neisseria
37248,Neisseria
37249,Neisseria
37250,Neisseria
37251,Neisseria
37252,Neisseria
37253,Neisseria
37254,Neisseria
37255,Neisseria
37256,Neisseria
37257,Neisseria
37258,Neisseria
37259,Neisseria
37260,Neisseria
37262,Neisseria
37263,Neisseria
37264,Neisseria
37265,Neisseria
37266,Neisseria
37267,Neisseria
37268,Neisseria
37269,Neisseria
37270,Neisseria
37271,Neisseria
37272,Neisseria
37273,Neisseria
37274,Neisseria
37275,Neisseria
37276,Neisseria
37277,Neisseria
37278,Neisseria
37279,Neisseria
37280,Neisseria
37281,Neisseria
37282,Neisseria
37283,Neisseria
37284,Neisseria
37285,Neisseria
37286,Neisseria
37287,Neisseria
37288,Neisseria
37290,Neisseria
37291,Neisseria
37292,Neisseria
37293,Neisseria
37294,Neisseria
37295,Neisseria
37296,Neisseria
37297,Neisseria
37298,Neisseria
37299,Neisseria
37300,Neisseria
37301,Neisseria
37302,Neisseria
37303,Neisseria
37304,Neisseria
37305,Neisseria
37306,Neisseria
37307,Neisseria
37309,Neisseria
37310,Neisseria
37311,Neisseria
37313,Neisseria
37314,Neisseria
37315,Neisseria
37316,Neisseria
37317,Neisseria
37318,Neisseria
37319,Neisseria
37320,Neisseria
37321,Neisseria
37322,Neisseria
37323,Neisseria
37324,Neisseria
37325,Neisseria
37326,Neisseria
37327,Neisseria
37328,Neisseria
37329,Neisseria
37330,Neisseria
37331,Neisseria
37332,Neisseria
37333,Neisseria
37334,Neisseria
37335,Neisseria
37336,Neisseria
37337,Neisseria
37338,Neisseria
37339,Neisseria
37340,Neisseria
37341,Neisseria
37342,Neisseria
37343,Neisseria
37344,Neisseria
37345,Neisseria
37346,Neisseria
37348,Neisseria
37349,Neisseria
37350,Neisseria
37351,Neisseria
37352,Neisseria
37353,Neisseria
37354,Neisseria
37355,Neisseria
37357,Neisseria
37358,Neisseria
37359,Neisseria
37360,Neisseria
37361,Neisseria
37362,Neisseria
37363,Neisseria
37364,Neisseria
37365,Neisseria
37366,Neisseria
37367,Neisseria
37368,Neisseria
37369,Neisseria
37370,Neisseria
37371,Neisseria
37372,Neisseria
37373,Neisseria
37374,Neisseria
37375,Neisseria
37376,Neisseria
