iso3,year,gdp
AUS,2000,45892.61037
AUS,2001,46232.03825
AUS,2002,47534.54521
AUS,2003,48453.0138
AUS,2004,49959.07241
AUS,2005,50911.13414
AUS,2006,51605.3146
AUS,2007,52586.40939
AUS,2008,53382.31006
AUS,2009,53271.59019
AUS,2010,53606.58144
AUS,2011,54131.10471
AUS,2012,55269.91928
AUS,2013,55727.73415
AUS,2014,56318.63598
AUS,2015,56708.9612
AUS,2016,57354.54981
AUS,2017,57701.52385
AUS,2018,58479.50355
AUS,2019,58868.48063
AUS,2020,58115.93067
AUS,2021,59339.68435
AUS,2022,60797.95865
AUT,1990,31340.68129
AUT,1991,32097.24109
AUT,1992,32410.53977
AUT,1993,32313.71187
AUT,1994,32962.81742
AUT,1995,33790.48499
AUT,1996,34537.73957
AUT,1997,35220.88774
AUT,1998,36442.28823
AUT,1999,37664.94328
AUT,2000,38842.89052
AUT,2001,39184.8086
AUT,2002,39636.48261
AUT,2003,39815.22195
AUT,2004,40651.22662
AUT,2005,41281.27076
AUT,2006,42496.35105
AUT,2007,43937.71289
AUT,2008,44440.05589
AUT,2009,42655.19213
AUT,2010,43334.50896
AUT,2011,44451.00019
AUT,2012,44549.8817
AUT,2013,44299.37818
AUT,2014,44245.16874
AUT,2015,44195.81759
AUT,2016,44590.25163
AUT,2017,45281.7234
AUT,2018,46154.6251
AUT,2019,46647.08096
AUT,2020,43455.70007
AUT,2021,45238.39071
AUT,2022,47043.34323
AZE,1990,2820.840603
AZE,1991,2764.074483
AZE,1992,2107.297157
AZE,1993,1596.132948
AZE,1994,1264.527413
AZE,1995,1102.498085
AZE,1996,1105.587438
AZE,1997,1158.481863
AZE,1998,1262.292111
AZE,1999,1343.856177
AZE,2000,1480.808953
AZE,2001,1614.849144
AZE,2002,1754.135552
AZE,2003,1918.611377
AZE,2004,2077.885638
AZE,2005,2631.851919
AZE,2006,3501.165445
AZE,2007,4327.114371
AZE,2008,4693.077911
AZE,2009,5023.96818
AZE,2010,5215.205078
AZE,2011,5152.839415
AZE,2012,5194.921837
AZE,2013,5426.096903
AZE,2014,5506.182671
AZE,2015,5500.50462
AZE,2016,5270.739099
AZE,2017,5229.710816
AZE,2018,5262.369637
AZE,2019,5348.454136
AZE,2020,5083.561155
AZE,2021,5345.440811
AZE,2022,5571.732827
BHS,1990,31352.38208
BHS,1991,29455.93727
BHS,1992,27734.81195
BHS,1993,27222.4845
BHS,1994,27522.58686
BHS,1995,28194.80706
BHS,1996,28867.26266
BHS,1997,30331.08684
BHS,1998,28485.06685
BHS,1999,31473.16779
BHS,2000,32300.81203
BHS,2001,32684.95522
BHS,2002,33129.16447
BHS,2003,32276.53619
BHS,2004,32124.97811
BHS,2005,32765.41644
BHS,2006,33127.17526
BHS,2007,33136.44745
BHS,2008,31908.9393
BHS,2009,30139.34127
BHS,2010,30175.44476
BHS,2011,29984.75473
BHS,2012,30577.75063
BHS,2013,29425.80002
BHS,2014,29701.29036
BHS,2015,29724.95334
BHS,2016,29459.05221
BHS,2017,29940.41847
BHS,2018,30181.18406
BHS,2019,29760.3414
BHS,2020,22657.03516
BHS,2021,26412.01211
BHS,2022,30054.03896
BHR,1990,17405.8852
BHR,1991,18709.79574
BHR,1992,19275.4815
BHR,1993,21024.96862
BHR,1994,20283.08741
BHR,1995,20403.37053
BHR,1996,20576.51539
BHR,1997,20566.55701
BHR,1998,20915.83341
BHR,1999,21195.90078
BHR,2000,21713.53805
BHR,2001,21681.0283
BHR,2002,21866.04923
BHR,2003,22348.90481
BHR,2004,22325.70308
BHR,2005,22027.33131
BHR,2006,21783.85153
BHR,2007,22013.75842
BHR,2008,21918.00506
BHR,2009,21157.79342
BHR,2010,21452.92152
BHR,2011,21906.74643
BHR,2012,22484.85482
BHR,2013,23012.70834
BHR,2014,23107.95659
BHR,2015,22795.44886
BHR,2016,22810.77492
BHR,2017,23019.25574
BHR,2018,23023.11978
BHR,2019,23414.21907
BHR,2020,22579.36201
BHR,2021,23407.19585
BHR,2022,24395.47247
BGD,1990,493.0950748
BGD,1991,500.493822
BGD,1992,518.1098459
BGD,1993,532.2527222
BGD,1994,542.4544489
BGD,1995,559.689233
BGD,1996,574.8358219
BGD,1997,590.0027912
BGD,1998,609.0135653
BGD,1999,625.3638567
BGD,2000,646.0377662
BGD,2001,666.0677582
BGD,2002,678.8675118
BGD,2003,698.7320886
BGD,2004,723.2278415
BGD,2005,758.8899765
BGD,2006,799.7814782
BGD,2007,847.2819519
BGD,2008,890.296171
BGD,2009,927.0180908
BGD,2010,967.5610849
BGD,2011,1017.627735
BGD,2012,1070.595168
BGD,2013,1120.685339
BGD,2014,1173.893005
BGD,2015,1236.004398
BGD,2016,1307.732333
BGD,2017,1376.60347
BGD,2018,1460.304234
BGD,2019,1557.964334
BGD,2020,1593.347407
BGD,2021,1684.433487
BGD,2022,1784.738887
BRB,1990,15169.48506
BRB,1991,14547.87951
BRB,1992,13677.03101
BRB,1993,13744.14187
BRB,1994,13982.09535
BRB,1995,14231.55666
BRB,1996,14769.88011
BRB,1997,15444.65716
BRB,1998,15995.10554
BRB,1999,16016.55742
BRB,2000,16698.06105
BRB,2001,16258.84218
BRB,2002,16320.56803
BRB,2003,16610.53694
BRB,2004,16781.89833
BRB,2005,17382.7728
BRB,2006,18380.66991
BRB,2007,18692.12112
BRB,2008,18729.59024
BRB,2009,17714.67524
BRB,2010,17237.77116
BRB,2011,17071.05344
BRB,2012,16953.43554
BRB,2013,16667.73838
BRB,2014,16615.50544
BRB,2015,16990.21947
BRB,2016,17385.20075
BRB,2017,17430.87321
BRB,2018,17220.931
BRB,2019,17168.14569
BRB,2020,14855.68986
BRB,2021,14800.83815
BRB,2022,16255.62675
BLR,1990,2890.540142
BLR,1991,2854.536528
BLR,1992,2574.838083
BLR,1993,2373.903642
BLR,1994,2098.635862
BLR,1995,1886.487852
BLR,1996,1945.849702
BLR,1997,2176.704381
BLR,1998,2370.199568
BLR,1999,2461.840458
BLR,2000,2616.927456
BLR,2001,2754.679695
BLR,2002,2912.139456
BLR,2003,3139.138336
BLR,2004,3522.50932
BLR,2005,3880.035815
BLR,2006,4294.252406
BLR,2007,4685.006185
BLR,2008,5180.740978
BLR,2009,5203.883649
BLR,2010,5621.968247
BLR,2011,5938.253501
BLR,2012,6047.904556
BLR,2013,6110.938443
BLR,2014,6212.93643
BLR,2015,5967.069185
